id;caption;price;sizeEnable;sizeUnit;sizeDefaultValue;;
1;Подоконник 100 мм;128;1;мм.;1000;;
2;Подоконник 150 мм;177;1;мм.;1000;;
3;Подоконник 200 мм;226;1;мм.;1000;;
4;Подоконник 250 мм;275;1;мм.;1000;;
5;Подоконник 300 мм;324;1;мм.;1000;;
6;Подоконник 350 мм;383;1;мм.;1000;;
7;Подоконник 400 мм;432;1;мм.;1000;;
8;Подоконник 450 мм;495;1;мм.;1000;;
9;Подоконник 500 мм;540;1;мм.;1000;;
10;Подоконник 600 мм;653;1;мм.;1000;;
11;Подоконник 700 мм;801;1;мм.;1000;;
12;Подоконник 800 мм;927;1;мм.;1000;;
13;Подоконник 900 мм;1058;1;мм.;1000;; 
14;Отлив 100 мм;126;1;мм.;1000;;
15;Отлив 150 мм;153;1;мм.;1000;;
16;Отлив 200 мм;177;1;мм.;1000;;
17;Отлив 250 мм;203;1;мм.;1000;;
18;Отлив 300 мм;229;1;мм.;1000;;
19;Отлив 350 мм;256;1;мм.;1000;;
20;Отлив 400 мм;281;1;мм.;1000;;
21;Отлив 450 мм;308;1;мм.;1000;;
22;Отлив 500 мм;333;1;мм.;1000;;
23;Откосы до 15см;661;1;мм.;1000;;
24;Откосы до 25см;679;1;мм.;1000;;
25;Откосы до 30см;783;1;мм.;1000;;
26;Откосы до 40см;994;1;мм.;1000;;
27;Откосы до 50см;1021;1;мм.;1000;;
28;Откосы до 60см;1116;1;мм.;1000;;
29;Откосы до 75см;1174;1;мм.;1000;;
