;;;;;"Документ подготовлен в программе ""Optima WIN"". (C)";;;;;;;;;;
;www.altec.ru;;;;;"ООО ""Алтек"", 1996-2009.";;;;;;;;;
;;;;;;Прайс-лист;;;;;;;;;
;;;1;;;;;;;;;;;;
;999;1300;1600;1900;2200;2500;2800;;;;;;;;
999;0;0;0;0;0;0;0;;;;;;;;
1300;0;10.53;12.27;13.07;14.07;14.87;16.11;;;;;;;;
1600;0;11.53;13;14.47;15.27;16.13;17.47;;;;;;;;
1900;0;12.33;13.8;15.27;16.13;17;18.37;;;;;;;;
2200;0;13.47;15.13;16;17.07;17.93;19.18;;;;;;;;
2500;0;14.6;16.13;17.27;18.33;19.27;20.53;;;;;;;;
2800;0;15.4;17;18.13;19.2;20.13;21.45;;;;;;;;
;;;;;;;;;;;;;;;Страница 1 из 1
